identity,mode,fdc_id,status,signed,kcal,protein,modes_agree,description
oats|,V2_ON,173905,likely,UNREVIEWED,71.0,2.54,True,"Cereals, oats, regular and quick, unenriched, cooked with water (includes boiling and microwaving), without salt"
potato|,V2_OFF,170032,likely,UNREVIEWED,58.0,2.57,True,"Potatoes, raw, skin"
potato|,V2_ON,170032,likely,UNREVIEWED,58.0,2.57,True,"Potatoes, raw, skin"
potato|fried,V2_OFF,170698,likely,UNREVIEWED,312,3.43,True,"Fast foods, potato, french fried in vegetable oil"
potato|fried,V2_ON,170698,likely,UNREVIEWED,312,3.43,True,"Fast foods, potato, french fried in vegetable oil"
rice|,V2_OFF,169711,likely,UNREVIEWED,97.0,2.02,True,"Rice, white, glutinous, unenriched, cooked"
rice|,V2_ON,169711,likely,UNREVIEWED,97.0,2.02,True,"Rice, white, glutinous, unenriched, cooked"
salmon|,V2_OFF,173688,likely,UNREVIEWED,179,19.9,False,"Fish, salmon, chinook, raw"
salmon|,V2_ON,171999,likely,UNREVIEWED,231,25.7,False,"Fish, salmon, chinook, cooked, dry heat"
shrimp|,V2_OFF,175180,likely,UNREVIEWED,99.0,24.0,True,"Crustaceans, shrimp, cooked"
shrimp|,V2_ON,175180,likely,UNREVIEWED,99.0,24.0,True,"Crustaceans, shrimp, cooked"
tilapia|,V2_OFF,175176,likely,UNREVIEWED,96.0,20.1,True,"Fish, tilapia, raw"
tilapia|,V2_ON,175176,likely,UNREVIEWED,96.0,20.1,True,"Fish, tilapia, raw"
tilapia|roasted,V2_OFF,,NO WINNER,,,,True,
tilapia|roasted,V2_ON,175177,estimated,ADMIT,128,26.2,True,"Fish, tilapia, cooked, dry heat"
tofu|,V2_OFF,174291,likely,UNREVIEWED,145,12.7,True,"Tofu, hard, prepared with nigari"
tofu|,V2_ON,174291,likely,UNREVIEWED,145,12.7,True,"Tofu, hard, prepared with nigari"
tofu|fried,V2_OFF,172451,exact,UNREVIEWED,270,18.8,True,"Tofu, fried"
tofu|fried,V2_ON,172451,exact,UNREVIEWED,270,18.8,True,"Tofu, fried"
